id,title,description,creationDate,startDate,dueDate,completedDate,estimationTime,status,priority,progress,itemtags,assignedUserIds,projectId,totalTimeSpent
91,Migrate data,Transfer data from legacy system,2025-04-12,2025-04-12,2025-04-24,,305,IN_PROGRESS,MEDIUM,41.7,database,user12,34,210
92,Migrate data,Transfer data from legacy system,2025-03-23,2025-03-23,2025-03-30,,253,IN_PROGRESS,CRITICAL,37.7,database,"user46, user47",36,200
93,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-24,2025-03-26,2025-04-12,2025-04-11,164,DONE,MEDIUM,100.0,frontend,"user10, user25",62,157
94,Configure Docker,Containerize the application,2025-01-27,2025-01-28,2025-02-11,2025-02-11,1974,DONE,LOW,100.0,devops,"user24, user22, user10",55,1786
95,Implement API endpoint,Develop REST endpoint for user service,2025-05-11,2025-05-13,2025-05-27,,1510,TO_DO,HIGH,0.0,backend,user43,79,0
96,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-04-09,2025-04-10,2025-04-27,2025-04-26,71,DONE,MEDIUM,100.0,frontend,"user2, user3",79,66
97,Implement JWT auth,Add token-based authentication,2025-05-12,2025-05-12,2025-05-31,2025-05-31,96,DONE,LOW,100.0,security,user35,82,97
98,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-25,2025-03-30,2025-04-12,,202,IN_PROGRESS,MEDIUM,21.6,frontend,"user22, user37",50,93
99,Configure Docker,Containerize the application,2025-03-03,2025-03-06,2025-03-15,,653,TO_DO,MEDIUM,0.0,devops,"user25, user14",59,0
100,Add rate limiting,Protect endpoints with request limits,2024-11-23,2024-11-26,2024-11-29,2024-11-29,322,DONE,LOW,100.0,api,"user14, user25, user11",97,336
101,Add rate limiting,Protect endpoints with request limits,2025-04-09,2025-04-12,2025-04-30,,210,TO_DO,LOW,0.0,api,"user47, user37, user24",70,0
102,Write unit tests,Cover business logic with JUnit,2025-04-18,2025-04-21,2025-05-09,,183,IN_PROGRESS,CRITICAL,85.9,testing,"user7, user50, user19",49,107
103,Immediate API fix,Resolve endpoint failure immediately,2025-05-06,2025-05-10,2025-05-17,,652,IN_PROGRESS,MEDIUM,77.7,urgent,user50,76,457
104,Implement React component,Create responsive component with hooks,2025-02-23,2025-02-24,2025-03-14,2025-03-14,189,DONE,MEDIUM,100.0,frontend,"user49, user45, user44",24,159
105,Urgent hotfix,Patch production bug under SLA,2025-04-25,2025-04-29,2025-05-03,,2849,TO_DO,MEDIUM,0.0,urgent,"user46, user41",8,0
106,Apply security patch,Update libraries for vulnerability,2024-12-02,2024-12-03,2024-12-08,2024-12-06,473,DONE,MEDIUM,100.0,security,"user9, user10, user38",76,533
107,Implement JWT auth,Add token-based authentication,2025-03-11,2025-03-15,2025-03-21,,141,TO_DO,MEDIUM,0.0,security,user21,37,0
108,Write unit tests,Cover business logic with JUnit,2024-11-16,2024-11-16,2024-12-01,,395,TO_DO,HIGH,0.0,testing,"user10, user23",79,0
109,Write unit tests,Cover business logic with JUnit,2024-12-01,2024-12-03,2024-12-15,2024-12-15,470,DONE,MEDIUM,100.0,testing,"user34, user9",36,508
110,Design schema,Create relational schema for new feature,2025-05-01,2025-05-05,2025-05-24,,191,IN_PROGRESS,MEDIUM,35.5,database,"user26, user22, user34",45,106
111,Urgent hotfix,Patch production bug under SLA,2024-11-17,2024-11-17,2024-11-23,,1589,TO_DO,CRITICAL,0.0,urgent,"user48, user38, user14",57,0
112,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-02-07,2025-02-07,2025-02-23,,195,IN_PROGRESS,LOW,70.5,frontend,"user1, user35",42,104
113,Setup integration tests,Test service interactions end-to-end,2025-02-24,2025-02-27,2025-03-09,,410,BLOCKED,MEDIUM,7.9,testing,"user5, user36, user12",91,0
114,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-03-19,2025-03-19,2025-03-24,,2653,ARCHIVED,HIGH,100.0,devops,"user18, user17",54,0
115,Write unit tests,Cover business logic with JUnit,2025-03-21,2025-03-24,2025-04-06,,411,IN_PROGRESS,CRITICAL,41.0,testing,"user34, user22",19,263
116,Apply security patch,Update libraries for vulnerability,2024-11-29,2024-11-29,2024-12-11,,388,TO_DO,HIGH,0.0,security,"user31, user10, user40",20,0
117,Add rate limiting,Protect endpoints with request limits,2024-12-22,2024-12-24,2024-12-31,,98,IN_PROGRESS,LOW,79.0,api,user16,15,54
118,Fix login bug,Resolve null pointer in login logic,2024-12-01,2024-12-01,2024-12-16,,465,IN_PROGRESS,MEDIUM,63.6,bug,user30,76,242
119,Optimize DB queries,Improve performance of complex joins,2025-04-17,2025-04-17,2025-04-29,,693,TO_DO,LOW,0.0,backend,"user30, user42",83,0
120,Implement JWT auth,Add token-based authentication,2025-01-01,2025-01-04,2025-01-15,2025-01-14,273,DONE,LOW,100.0,security,user41,59,233
121,Debug memory leak,Track and fix memory usage issue,2024-12-10,2024-12-13,2024-12-31,,82,IN_PROGRESS,LOW,70.7,bug,user41,16,35
122,Optimize DB queries,Improve performance of complex joins,2024-11-19,2024-11-23,2024-12-12,2024-12-09,848,DONE,MEDIUM,100.0,backend,"user28, user35, user39",83,880
123,Optimize DB queries,Improve performance of complex joins,2025-01-21,2025-01-21,2025-02-05,2025-02-02,1034,DONE,LOW,100.0,backend,"user8, user21",90,898
124,Implement React component,Create responsive component with hooks,2024-12-27,2024-12-31,2025-01-09,,464,IN_PROGRESS,MEDIUM,15.3,frontend,"user18, user42, user17",24,185
125,Immediate API fix,Resolve endpoint failure immediately,2025-04-23,2025-04-26,2025-04-30,,2409,TO_DO,LOW,0.0,urgent,"user39, user25, user30",50,0
126,Fix CSS layout issue,Resolve flexbox misalignment in UI,2024-12-17,2024-12-20,2024-12-30,,335,TO_DO,LOW,0.0,frontend,"user48, user38",79,0
127,Migrate data,Transfer data from legacy system,2025-02-01,2025-02-05,2025-02-25,2025-02-24,360,DONE,LOW,100.0,database,"user27, user11, user35",60,387
128,Implement JWT auth,Add token-based authentication,2025-04-28,2025-04-28,2025-05-05,2025-05-05,180,DONE,LOW,100.0,security,"user8, user19, user39",17,205
129,Debug memory leak,Track and fix memory usage issue,2024-11-28,2024-12-03,2024-12-14,,138,IN_PROGRESS,MEDIUM,17.3,bug,"user6, user11",87,105
130,Setup integration tests,Test service interactions end-to-end,2025-02-07,2025-02-07,2025-02-25,,296,TO_DO,MEDIUM,0.0,testing,"user18, user45",49,0
131,Immediate API fix,Resolve endpoint failure immediately,2025-04-07,2025-04-11,2025-04-25,,2608,IN_PROGRESS,HIGH,31.2,urgent,"user15, user45",67,1433
132,Urgent hotfix,Patch production bug under SLA,2025-02-11,2025-02-11,2025-03-01,,1729,TO_DO,MEDIUM,0.0,urgent,"user33, user6, user1",47,0
133,Debug memory leak,Track and fix memory usage issue,2024-12-18,2024-12-22,2025-01-11,,355,TO_DO,LOW,0.0,bug,user36,72,0
134,Migrate data,Transfer data from legacy system,2025-01-23,2025-01-27,2025-02-16,,239,IN_PROGRESS,HIGH,72.5,database,user8,88,186
135,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-01-09,2025-01-10,2025-01-16,,1299,IN_PROGRESS,MEDIUM,65.5,devops,user29,66,810
136,Document API,Write OpenAPI docs for endpoints,2025-03-12,2025-03-15,2025-03-25,2025-03-23,402,DONE,LOW,100.0,api,user49,45,385
137,Implement API endpoint,Develop REST endpoint for user service,2025-03-23,2025-03-26,2025-04-08,2025-04-07,1693,DONE,HIGH,100.0,backend,user33,86,1710
138,Immediate API fix,Resolve endpoint failure immediately,2025-05-06,2025-05-10,2025-05-13,2025-05-11,2739,DONE,MEDIUM,100.0,urgent,"user18, user1, user22",49,2930
139,Fix CSS layout issue,Resolve flexbox misalignment in UI,2024-12-24,2024-12-29,2025-01-05,,326,IN_PROGRESS,HIGH,28.6,frontend,user13,96,208
140,Implement JWT auth,Add token-based authentication,2024-12-08,2024-12-10,2024-12-30,,261,IN_PROGRESS,LOW,25.8,security,"user28, user25, user32",49,90
141,Migrate data,Transfer data from legacy system,2025-05-03,2025-05-04,2025-05-14,,203,TO_DO,MEDIUM,0.0,database,"user50, user15, user32",17,0
142,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-01-12,2025-01-15,2025-01-30,,2043,IN_PROGRESS,MEDIUM,81.0,devops,"user6, user38, user12",17,1114
143,Implement JWT auth,Add token-based authentication,2025-03-24,2025-03-27,2025-04-15,,150,IN_PROGRESS,LOW,89.3,security,"user22, user18, user23",88,79
144,Apply security patch,Update libraries for vulnerability,2025-05-04,2025-05-04,2025-05-16,,368,TO_DO,HIGH,0.0,security,user50,89,0
145,Configure Docker,Containerize the application,2025-02-02,2025-02-07,2025-02-21,,2851,IN_PROGRESS,LOW,72.6,devops,"user15, user37",21,1284
146,Apply security patch,Update libraries for vulnerability,2024-12-16,2024-12-20,2025-01-02,,418,IN_PROGRESS,MEDIUM,57.2,security,"user22, user15, user18",78,164
147,Configure Docker,Containerize the application,2025-03-05,2025-03-08,2025-03-20,2025-03-20,841,DONE,MEDIUM,100.0,devops,user35,10,768
148,Implement JWT auth,Add token-based authentication,2024-12-07,2024-12-07,2024-12-19,,343,IN_PROGRESS,LOW,62.9,security,user39,79,215
149,Document API,Write OpenAPI docs for endpoints,2025-04-24,2025-04-25,2025-05-13,,374,TO_DO,MEDIUM,0.0,api,user18,11,0
150,Document API,Write OpenAPI docs for endpoints,2025-03-12,2025-03-16,2025-04-04,,315,TO_DO,HIGH,0.0,api,"user48, user32, user3",39,0
151,Fix CSS layout issue,Resolve flexbox misalignment in UI,2024-11-22,2024-11-22,2024-12-10,,93,TO_DO,LOW,0.0,frontend,"user31, user44",56,0
152,Implement JWT auth,Add token-based authentication,2024-11-19,2024-11-22,2024-12-02,2024-11-30,201,DONE,LOW,100.0,security,"user47, user27",6,196
153,Migrate data,Transfer data from legacy system,2025-02-03,2025-02-07,2025-02-10,,84,CANCELLED,LOW,18.5,database,"user40, user2",61,0
154,Optimize DB queries,Improve performance of complex joins,2025-03-14,2025-03-17,2025-03-23,,1727,TO_DO,HIGH,0.0,backend,"user39, user29",60,0
155,Document API,Write OpenAPI docs for endpoints,2024-12-26,2024-12-26,2024-12-30,,363,IN_PROGRESS,LOW,84.8,api,"user21, user25",82,248
156,Debug memory leak,Track and fix memory usage issue,2025-04-15,2025-04-15,2025-04-22,,148,IN_PROGRESS,LOW,33.3,bug,user33,41,84
157,Write unit tests,Cover business logic with JUnit,2024-11-27,2024-11-28,2024-12-03,,286,IN_PROGRESS,LOW,35.2,testing,"user23, user13",30,97
158,Design schema,Create relational schema for new feature,2024-12-06,2024-12-09,2024-12-13,,84,IN_PROGRESS,MEDIUM,36.4,database,user3,41,47
159,Urgent hotfix,Patch production bug under SLA,2025-04-28,2025-04-28,2025-05-01,,1427,IN_PROGRESS,CRITICAL,66.9,urgent,"user38, user20",2,1121
160,Urgent hotfix,Patch production bug under SLA,2024-12-11,2024-12-13,2024-12-29,,1620,IN_PROGRESS,HIGH,64.0,urgent,user11,3,637
161,Document API,Write OpenAPI docs for endpoints,2025-04-29,2025-05-02,2025-05-15,,474,TO_DO,HIGH,0.0,api,"user22, user27",14,0
162,Migrate data,Transfer data from legacy system,2025-05-04,2025-05-09,2025-05-22,,170,BLOCKED,LOW,26.2,database,"user33, user20",15,0
163,Implement API endpoint,Develop REST endpoint for user service,2025-02-25,2025-02-26,2025-03-16,,528,TO_DO,LOW,0.0,backend,"user44, user33, user46",15,0
164,Implement API endpoint,Develop REST endpoint for user service,2024-12-12,2024-12-16,2024-12-22,,1884,IN_PROGRESS,CRITICAL,21.9,backend,"user8, user24",53,1390
165,Add rate limiting,Protect endpoints with request limits,2024-11-23,2024-11-23,2024-11-26,,108,IN_PROGRESS,MEDIUM,23.9,api,user40,41,72
166,Apply security patch,Update libraries for vulnerability,2024-11-18,2024-11-18,2024-12-01,,167,BLOCKED,HIGH,0.7,security,"user29, user13",55,0
167,Debug memory leak,Track and fix memory usage issue,2024-11-25,2024-11-28,2024-12-13,,110,IN_PROGRESS,MEDIUM,25.4,bug,"user2, user25",33,84
168,Implement API endpoint,Develop REST endpoint for user service,2024-12-16,2024-12-17,2024-12-31,,1324,IN_PROGRESS,MEDIUM,63.7,backend,user6,30,854
169,Implement API endpoint,Develop REST endpoint for user service,2025-02-08,2025-02-09,2025-03-01,,2222,TO_DO,MEDIUM,0.0,backend,user32,83,0
170,Write unit tests,Cover business logic with JUnit,2024-12-10,2024-12-15,2024-12-21,,298,TO_DO,MEDIUM,0.0,testing,user48,11,0
171,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-05-02,2025-05-05,2025-05-21,,2768,TO_DO,MEDIUM,0.0,devops,user28,46,0
172,Document API,Write OpenAPI docs for endpoints,2024-11-26,2024-11-30,2024-12-03,,329,IN_PROGRESS,LOW,65.5,api,user34,3,107
173,Debug memory leak,Track and fix memory usage issue,2025-02-13,2025-02-16,2025-03-06,,80,TO_DO,MEDIUM,0.0,bug,"user25, user21, user4",53,0
174,Immediate API fix,Resolve endpoint failure immediately,2024-12-08,2024-12-11,2024-12-19,,2702,IN_PROGRESS,HIGH,67.7,urgent,user2,51,1334
175,Implement JWT auth,Add token-based authentication,2025-03-02,2025-03-02,2025-03-06,,179,IN_PROGRESS,CRITICAL,32.6,security,user12,76,56
176,Immediate API fix,Resolve endpoint failure immediately,2025-04-09,2025-04-12,2025-04-28,2025-04-25,1048,DONE,LOW,100.0,urgent,user43,48,877
177,Implement React component,Create responsive component with hooks,2025-01-19,2025-01-21,2025-02-09,2025-02-06,221,DONE,CRITICAL,100.0,frontend,"user6, user4",36,203
178,Configure Docker,Containerize the application,2025-02-22,2025-02-24,2025-03-10,,2810,IN_PROGRESS,MEDIUM,55.2,devops,user9,73,1803
