id,title,description,creationDate,lastModifiedDate,startDate,dueDate,completedDate,estimationTime,status,priority,progress,updatedBy,createdBy,projectId,userStory,totalTimeSpent,assignedUserIds,tags,dependencies
11,Refactor user service,Refactor user service. Tonight later easy ask again network. Detail audience piece director town teacher audience draw. Democrat car very number line six space.,2025-04-12,2025-04-14,2025-04-12,2025-04-27,,355,ARCHIVED,CRITICAL,47.05,0ad9b24b-6fc4-4e35-a7cb-528256f0bbd4,f97c8ba7-8540-4baa-b1ba-9b05080d1476,1085,2083,140,"5f84a4fa-7952-4687-81ed-c748fc0cdc5f,1bd0bfb3-7ee3-49e4-b546-1b0c9bd13943,577854d0-49a6-40dd-8fb4-e0e597297efc","performance,ux","7,4,9"
12,Improve authentication module,Improve authentication module. Probably great in tell. Pull worker better.,2025-02-24,2025-02-24,2025-02-25,2025-03-03,,210,TODO,LOW,54.84,04c75940-9e9b-483a-a398-54d71f609ee2,1edf4504-4c19-424f-9092-0b9631ae2cc4,1029,2008,0,e2f6ebfa-d04e-4d03-b693-21cb5bc38f23,security,
13,Integrate API endpoint,Integrate API endpoint. Eat couple large instead. Leg themselves away space task. Anything yourself structure why.,2025-03-17,2025-03-18,2025-03-18,2025-03-25,,0,CANCELED,CRITICAL,13.1,86b97524-26e6-4174-890b-970e6d686f8c,9cff180f-8f19-4ee1-925a-b779056049e0,1052,2024,0,"8f122d10-e4a4-4a07-8340-01fca419431e,a05bc4b3-c408-41c9-9ddd-3bd417b041d5,d3f139c9-47a1-4306-875e-88d7bdedb70d",frontend,
14,Integrate authentication module,Integrate authentication module. Image loss ten total. Her world enter six.,2025-05-06,2025-05-07,2025-05-08,2025-05-17,,306,BLOCKED,CRITICAL,64.69,b83e6ba3-62bb-40ae-b857-ac3224c3c1da,d1414cf2-f5b5-4b0e-a123-5b4246aa3a59,1017,2054,37,b53d8f31-a659-4c54-8dcf-233c6d49289f,api,"6,2,4"
15,Implement authentication module,Implement authentication module. Recent room situation product main couple. Why often my security arm.,2025-03-22,2025-03-23,2025-03-22,2025-04-01,,226,ARCHIVED,CRITICAL,98.93,43e5064f-c923-441e-a66d-e4f6caf5fcba,0a977f56-1e1e-40bc-a468-74e28df30f7e,1062,2061,238,7b7e5076-ce64-4ac5-b22b-aa9734fbce7e,testing,
16,Design unit tests,Design unit tests. Try most arm meet surface attention attack. Identify walk now often always. Information on mission various.,2025-04-03,2025-04-06,2025-04-04,2025-04-13,,211,TODO,MEDIUM,28.24,1dd0013d-1b20-40de-8224-92c9f14a45bb,31073a15-f84a-464d-92ca-20cfbbbfe7e8,1024,2037,0,"4e6ff81d-b484-41d7-b869-9136d09203e8,85ab8717-c9c7-4e16-a4ff-314223f6f6a2,12413d0c-66f2-492b-a856-be364396020b",backend,
17,Improve authentication module,Improve authentication module. Enter capital population lead upon. Act perform none beyond. Defense enter value thing these hard citizen.,2025-02-25,2025-02-26,2025-03-01,2025-03-04,,72,CANCELED,LOW,57.83,718961cb-4e69-4c70-9829-8f09528dad81,f759a8cf-01db-454e-9548-063465082e18,1065,2010,0,"6d68db65-f0a4-4288-96f6-ab904b3e94a0,9d91d13f-6e91-4ba2-8771-9820452f6090,601f318d-44ad-4c3a-919d-c251b2af0f5c",frontend,
18,Implement backend service,Implement backend service. Particularly would pressure account stage. Use billion there enough threat. Choice example decision garden reach table measure.,2025-04-27,2025-04-28,2025-05-02,2025-05-08,,147,BLOCKED,HIGH,57.31,14666126-1dd1-44e6-a24a-4d5d2774366b,0898535c-d55c-40d7-b1c6-fae32d0921b0,1030,2033,6,"7a0577e6-d01a-4570-9be5-bb791c6742fb,7a023ddf-14ee-4b93-8671-37edb8ece5e9","devops,docker","17,11,15"
19,Fix email system,Fix email system. Plant stop analysis four.,2025-03-02,2025-03-03,2025-03-05,2025-03-13,,131,TODO,HIGH,98.85,d2020c7c-506f-484b-9fd9-bf1f2eec38d7,9828cd2f-31d9-4f60-8ec4-095ce59c763f,1016,2044,0,87a2bd9c-623e-4352-947d-6ceda718f190,cloud,
20,Add backend service,Add backend service. Scientist necessary into act. War real chance along.,2025-02-18,2025-02-18,2025-02-19,2025-03-01,,181,ARCHIVED,MEDIUM,52.37,8e84522a-17e2-40cc-9a10-85c4311bfbef,e247caea-4257-4762-adf7-5f482c4c7b49,1033,2014,97,"b1a6d2ca-2598-4a63-aaf0-6a89eea7c9fe,e578f55d-9c76-4762-ac21-e8fbc17da3e6,4535a678-4842-4124-83c8-90e5d7a07ebd",kubernetes,
21,Update database model,Update database model. Challenge camera final together someone team together. Radio project government nice themselves. See understand door class son computer include conference. Site in prove same easy city.,2025-03-13,2025-03-13,2025-03-15,2025-03-22,,78,ARCHIVED,LOW,68.06,f397123f-1a75-413e-88a7-7b424d9c7595,306c05c6-77a0-4fd0-b3ba-a135b62a1efa,1081,2054,56,"d25aab20-bd0e-4ebf-bb95-ccd0f6ff7944,cc3365c2-e7ae-47e7-bd9c-ff3fccde8e22","backend,kubernetes",
22,Refactor email system,Refactor email system. The teach develop staff least figure. Development process huge everything attorney.,2025-04-15,2025-04-15,2025-04-16,2025-04-29,2025-04-16,261,COMPLETED,MEDIUM,100.0,a833f2ce-4b63-49d5-9dba-860d6a67d929,738cf8fa-6564-4621-8dd0-7c1570f3b7dd,1069,2004,282,082d2df3-f55d-4a3c-b6c7-62c77876cdf1,"ci/cd,ux",
23,Improve authentication module,Improve authentication module. Political hundred wonder movie voice boy. Condition while enter board its.,2025-04-22,2025-04-25,2025-04-23,2025-04-26,2025-04-23,181,COMPLETED,MEDIUM,100.0,02cfe1c3-29b3-4383-a569-af326fbb5f21,81d61c37-664c-4d3e-b1c3-ef6b5e8b1a1c,1030,2020,133,"b36afeaa-eefa-4c37-9f3c-ecb6484cecd2,be1c4549-306c-4b8a-a0b0-02a45396cc7a,9a89da4c-fb5e-41b6-b716-04169e22d5d7",testing,12
24,Update unit tests,Update unit tests. Paper memory history office effort remember. Mind southern rather. Hair attorney professional form finish.,2025-04-17,2025-04-18,2025-04-30,2025-04-22,,70,BLOCKED,CRITICAL,77.95,f4ee2186-616b-4df9-9049-99385f069a11,28c1535c-3b22-4744-bae7-e7e1effbd781,1044,2039,4,"00aaa5dd-7c3e-4391-9419-969f02cac990,10d78b32-d9b9-4624-8df8-906446a86d6b",cloud,
25,Add security layer,Add security layer. Medical project for recent never. Inside wait quality total past.,2025-04-29,2025-04-29,2025-04-30,2025-05-09,2025-04-30,104,COMPLETED,LOW,100.0,947bb888-c0c7-4e45-8bdb-1344c089d390,86f4b0c2-505e-4cd3-ab21-e295d810d75a,1033,2022,97,,"api,backend,frontend",
26,Design backend service,Design backend service. Street fight decision size parent focus kid. Memory soldier where save probably. Middle plan friend stand seem.,2025-03-07,2025-03-09,2025-03-09,2025-03-23,2025-03-09,228,COMPLETED,LOW,100.0,4a7c2e62-8d01-4fde-be4e-31b57ae51259,89f21c43-01d5-48e5-a7a5-bef2fb3fbf8a,1090,2055,192,de23b4bc-7f33-4e9d-b5c2-279e0c1269c8,ux,
27,Update database model,Update database model. Southern challenge animal worker particularly. Lay though offer responsibility.,2025-04-12,2025-04-14,2025-04-16,2025-04-29,,118,CANCELED,LOW,6.93,48e951f7-fc57-49d9-ab3b-d89c68a3b5db,e3071a66-937c-45f4-9ff3-75381501f636,1092,2038,0,"46e2b64e-343f-4a7a-ac12-81adc2f26812,57a2ec7e-03f3-4a84-a8e4-6cb3c6ccabc9","api,docker,testing",
28,Refactor API endpoint,Refactor API endpoint. During prevent accept seem show blood. Despite sound receive let newspaper true. Lead soon property write.,2025-03-15,2025-03-17,2025-03-20,2025-03-27,,217,ARCHIVED,CRITICAL,65.83,6c49c970-a6ad-421c-814f-0cc70fbf8811,527683eb-6c5d-46c4-9af3-5fb11da3fd7a,1070,2000,139,a14efb07-2a2c-43a5-8430-25fd35adbe77,"api,cloud",
29,Improve email system,Improve email system. Partner rest measure store natural today. Late seem style everyone sing machine dream. Back experience even floor music catch.,2025-04-04,2025-04-04,2025-04-08,2025-04-20,,207,CANCELED,HIGH,43.77,6f3eff19-7570-4085-92ee-825d4980aef2,bbf67680-4887-4e98-be71-903b24275751,1065,2084,0,d4e20550-0efc-4021-8c0a-3154e20685d3,"ci/cd,security,frontend","26,24"
30,Update API endpoint,Update API endpoint. Relationship ask imagine my. Artist strategy hope show watch affect. Herself accept goal send table well industry.,2025-02-28,2025-03-03,2025-03-01,2025-03-14,2025-03-01,80,COMPLETED,CRITICAL,100.0,e5267e49-18e0-4521-9a20-c5b901812d58,a1dd1b38-f02a-4f73-b436-0ce8ff87107c,1080,2073,54,afabe1d5-07cb-4639-8550-f5437a37df30,kubernetes,"20,28"
31,Refactor authentication module,Refactor authentication module. Today major event magazine home protect something right. Try wonder move trade option production base. Career left anyone here deep force.,2025-04-19,2025-04-22,2025-04-22,2025-05-01,,113,IN_PROGRESS,LOW,77.06,58b56d50-01fc-47c2-aabc-a289e22d7437,c4036bee-cfce-4052-8ed1-56c4fa957554,1071,2031,82,"2d5f1d8e-2900-4d21-9b79-2e901d5781a1,043ecd97-d530-4ca9-9593-22bd7e1f043a,2a48f79a-d49e-462b-a776-5c8f1f7a10b4",performance,
32,Migrate backend service,Migrate backend service. Sell story edge bank affect. Appear weight difference attention whatever American all. Current after charge call prove.,2025-04-20,2025-04-23,2025-04-23,2025-05-06,,197,ARCHIVED,CRITICAL,94.05,e867a709-2d90-41cc-9888-488e10ce966e,21435195-6da9-45d0-bd94-21bc8241591d,1020,2095,199,"a7ec6696-e78a-4ad5-b14a-402819b166eb,6013ccf2-61b9-4440-91fb-253ac860018e,e18b6090-49bf-469e-a60a-0d60454b342b","performance,api",
33,Integrate API endpoint,Integrate API endpoint. Record short cold parent security boy standard. Blue agent find quality when.,2025-04-01,2025-04-02,2025-04-06,2025-04-13,,171,ARCHIVED,MEDIUM,43.55,6a43d8a4-3b9b-4143-87ee-6b39d076de9e,8e2b73a4-0ea0-4995-97d2-7a2f454a9b98,1049,2088,64,477841f4-effc-4f67-ac9b-d87d64442d3e,kubernetes,"21,6"
34,Migrate email system,Migrate email system. Option store drug recent. Sure outside building worker site.,2025-03-16,2025-03-16,2025-03-19,2025-03-28,2025-03-19,232,COMPLETED,CRITICAL,100.0,2ea7a4a0-adc6-485d-9775-92f564ba5baf,f144f1c4-1c02-41aa-9856-edcc2c0ef940,1061,2000,191,"6869aee9-9cd3-4d62-8147-296c37d3b12e,06844770-8158-4f0d-afeb-452df3141abe","api,testing",
35,Migrate backend service,Migrate backend service. Product attention positive actually information majority. Whether player stock religious itself safe. Pattern try simple let stay.,2025-03-11,2025-03-14,2025-03-14,2025-03-25,,194,CANCELED,MEDIUM,48.33,45841f00-d6d0-48e9-a9f6-85eb652cd3ea,1ce5c53c-91f0-4f25-a1a6-dc3cbffcfe42,1059,2016,0,"40d8b392-5394-443c-8376-f6ce156234af,be7f1473-8fb4-4294-945c-de3c4c35740a","ux,backend,testing","2,25"
36,Design user service,Design user service. System store beautiful think during let. Property from management foot maintain great election evidence.,2025-04-04,2025-04-06,2025-04-09,2025-04-12,,255,TODO,CRITICAL,17.99,802d9ea4-addb-42b8-a9e6-49e987963251,3d57dcaa-eaeb-40b1-958b-f0d77b5c8727,1035,2096,0,"a21095e3-5cc2-4234-bb90-a55a459b6dce,c1976e18-d822-4a0f-b804-409e66f6135b","api,frontend","14,30"
37,Improve API endpoint,Improve API endpoint. Act way beat result major serve real. Large admit family identify during professional hard.,2025-04-04,2025-04-04,2025-04-09,2025-04-20,,226,TODO,MEDIUM,6.79,530c8020-a520-4ab0-b9c7-36c0837e4db6,454edeb4-cc9e-43b1-b71e-a393dcc0a249,1025,2002,0,def62837-6064-4652-9a2b-f9354f761d0f,"devops,cloud,kubernetes",
38,Integrate unit tests,Integrate unit tests. International second former reflect even edge. Return firm sea week. Course school everybody operation.,2025-03-31,2025-04-01,2025-03-31,2025-04-12,,169,IN_PROGRESS,HIGH,16.61,4a087b1e-81c7-49e5-a4fb-a1fc6638215e,721b0bb6-9f40-48a3-bc96-87e814e963fd,1013,2074,28,33ed6065-48c6-4410-8042-105762bffb02,api,
39,Update security layer,Update security layer. Executive beyond create dinner conference add move ever. Network recently call. Bill activity expect long future whole education.,2025-04-20,2025-04-22,2025-04-23,2025-05-02,,147,CANCELED,LOW,68.37,7cd3bacc-38ab-45ec-b249-b2ea5e45b256,403519bc-a3e8-41e5-be60-20e2b87b2255,1072,2100,0,f22af500-3aa4-4706-ab72-3a2c82cdd1a7,security,
40,Migrate database model,Migrate database model. State husband available picture. Charge specific we. Yes budget share paper.,2025-04-30,2025-05-03,2025-05-05,2025-05-13,,88,TODO,HIGH,84.11,6255e3c8-3690-4b87-8a37-a97e0579b3ec,c8181d7d-920e-4154-9e8a-217a1dec0624,1081,2058,0,6fc1645c-991f-4e08-a05a-9fe2acb34216,"devops,testing,kubernetes",
41,Migrate email system,Migrate email system. Simply herself training father open. Figure perform participant science way debate. Enough ball dream necessary choose. Late order fact discuss religious reflect.,2025-04-23,2025-04-26,2025-04-28,2025-05-05,,300,ARCHIVED,MEDIUM,43.12,22b7a187-1a27-403f-a40f-dbfc6179bce0,c441fa16-c475-47a8-be3e-578aa41f48bd,1096,2059,112,"2a609514-9cc9-466f-99a9-90523e763fe0,36bb0e83-c814-45df-b91b-1bd846f55944","ci/cd,docker,testing",6
42,Integrate API endpoint,Integrate API endpoint. Under skin person product value. Boy different chance enter central arrive.,2025-03-22,2025-03-24,2025-03-25,2025-04-02,,165,IN_PROGRESS,LOW,78.99,918830d3-3b63-4fb1-a6a7-bd90cd5d0cea,56aa05ed-e783-436d-80fe-3d58f54fa0db,1066,2024,126,"38cc7f06-5ad6-4aa0-bc0c-531b5ef8509b,c80d788a-c327-43a1-8a16-4264ab85e19a,29e1623d-9c18-424c-8f0b-eb81453fcad1",cloud,
43,Integrate email system,Integrate email system. See notice eye buy read record wall matter. Just our threat same page ago director.,2025-04-23,2025-04-26,2025-04-26,2025-05-07,,229,IN_PROGRESS,HIGH,78.5,36dd13e4-e80d-479f-a534-c99dbb91dee7,765be646-3fa6-446a-bc0f-8193e19a8460,1054,2095,137,"bccf2179-405e-4d0c-a957-4efe84a20669,5a1bdca9-682e-49d0-811f-bcca13428c05","security,kubernetes,performance","16,20,38"
44,Update database model,Update database model. Week yourself public especially American series like prepare. Consider one play man before. Impact fly bit claim in many.,2025-04-12,2025-04-13,2025-04-14,2025-04-20,,62,TODO,MEDIUM,73.55,e8c2f779-17d6-4498-b9ed-703a4358bf6f,f512e9fe-bd10-4752-9afb-e5f55a3ce509,1027,2094,0,"e88c443b-01e9-46c3-8ef8-676a38df90de,c7e8e1d2-5a79-4819-b529-efdeba03ee01,7a7b0808-a85c-45a1-bee8-f5eee3daccf6","api,ci/cd",
45,Implement API endpoint,Implement API endpoint. Already because education break significant ten stay. Price my including. Million performance material kind appear.,2025-04-11,2025-04-13,2025-04-15,2025-04-27,2025-04-15,162,COMPLETED,LOW,100.0,d67262b8-14eb-4fa4-88dc-ba7a41990efa,4c474162-3975-49ae-b699-cef8b52623c7,1006,2070,120,b3a4c14e-5aeb-4284-88fc-6d44e222500a,"kubernetes,devops",35
46,Add email system,Add email system. Until just recognize building. Participant dream citizen nearly need behavior yeah tree. Water positive child usually factor relate indeed.,2025-03-03,2025-03-03,2025-03-06,2025-03-10,,174,TODO,LOW,43.61,4df54974-f67c-4047-9eaa-cf60e5530e56,bb9c2cc6-199f-4c44-92b1-9a0ce7f83bb0,1051,2062,0,"30c53300-c8be-4923-8587-293d66a177b1,ec7265f1-e01d-41e3-95a4-b5615f387ea1",ci/cd,17
47,Add security layer,Add security layer. Lead certain course out second. Tell everybody so increase. Environment able rise study oil process tend.,2025-03-24,2025-03-25,2025-03-24,2025-03-29,,98,IN_PROGRESS,CRITICAL,11.73,619cca22-4610-4a3a-ba8e-706a9a506bb9,d5afcd0e-ad7c-424c-b649-b2bd7b94c2cd,1057,2056,12,"99ead38c-127c-429f-8f6f-206f11774f29,3371c765-99f6-4e8a-8713-f113d6d97084,1a3b7304-865b-4f0f-88c1-7ec83621c07f","ci/cd,testing",
48,Implement API endpoint,Implement API endpoint. Generation necessary myself lay focus country recently. Him task improve fish list tree high. Manager already maybe opportunity.,2025-03-21,2025-03-22,2025-03-25,2025-03-28,,264,ARCHIVED,LOW,20.89,22df0875-d9f6-4e3f-a319-e5737a1c7b26,c922a357-df8e-4f37-aa81-024db2bb7ea0,1052,2057,47,ebd5a0a1-1777-4765-a37f-9ac7ee2df6de,"ci/cd,performance,api",36
49,Integrate security layer,Integrate security layer. Between treat address century that wide. Light wide full realize.,2025-05-01,2025-05-02,2025-05-03,2025-05-17,,309,COMPLETED,MEDIUM,100.0,a0f1b0d8-1a7b-4b28-ba84-a4e7ef348302,2aeca097-aa92-4280-8725-bfc55c8275de,1034,2018,230,"c8575e53-0ba2-4e11-84d4-73ac6d70f9b5,9e779fb3-90ef-48b7-8c80-a9bccfe70f46",backend,"38,43,13"
50,Add email system,Add email system. System teacher here first responsibility service. Along attention piece TV young section its.,2025-04-10,2025-04-12,2025-04-12,2025-04-24,,72,CANCELED,CRITICAL,46.4,6ec95d41-d6dc-4ba9-983e-0fffbfe77df3,b4a0336e-269b-447d-a654-4443c59fc60c,1056,2010,0,"7a0823a2-f09b-4c7f-bb5e-411641ba644e,4f7483a9-1a9a-4ba6-8494-1fccb411a321","backend,testing,security",
51,Fix unit tests,Fix unit tests. Coach federal ahead food argue grow. Certainly most not society color bad.,2025-02-15,2025-02-18,2025-02-15,2025-02-19,,124,IN_PROGRESS,HIGH,3.98,ffadbb44-64b6-4b25-99d1-08a398845fa8,ba7d35b7-fa27-414f-8557-10f0d08565f6,1023,2074,5,"95cac4c9-857a-4101-b91a-efb96527d894,cb00626f-5e72-4bbf-b547-f69cbcc7b259,fa318045-8c9a-49b5-b0fe-5768f6f5bebb","docker,performance",
52,Improve database model,Improve database model. Raise marriage on discussion point least project together. Top quality citizen kid generation onto police. Real lead few yourself table blood.,2025-05-01,2025-05-03,2025-05-04,2025-05-12,,231,BLOCKED,CRITICAL,10.36,cb1e8c6b-e333-491b-8491-b74fd2c054b2,404b7dd4-067b-4ad9-965e-910affebf3ed,1097,2070,17,"f5c93fc2-5ff7-4063-ba3b-7e33948fce66,b2dfd34a-7310-4e38-bbbc-cb27012de0d9",performance,
53,Design logging mechanism,Design logging mechanism. Offer yeah far within probably ever. Ten sing wind treat seat strategy total. Parent good PM per question.,2025-03-15,2025-03-16,2025-03-17,2025-03-25,,72,TODO,HIGH,100.0,3801acbb-237a-4d9f-beae-0705dd077bbe,9fd849e1-20fa-446c-b465-a249f18e67ec,1079,2096,0,"ec8e47ad-3e9b-428e-a5fc-293ff5bf5eb7,511fd998-32df-4b3d-9c01-fdfb8cc77d91","docker,performance",
54,Refactor unit tests,Refactor unit tests. Best physical always small almost half capital travel. Section compare car much will most.,2025-04-16,2025-04-17,2025-04-17,2025-04-24,,267,ARCHIVED,HIGH,87.2,f0516624-9c37-48d5-a99b-e51c4ee08276,82c5f459-9d84-4d70-be26-51ff79e3dd25,1070,2001,193,"1860bb7f-b6ba-47c1-b9eb-bdcbfb078106,daeeced3-da1e-47e3-b523-eda34595d203,1ed71911-2698-4475-8884-20c5cf32581e","testing,frontend,cloud","39,52,16"
55,Refactor email system,Refactor email system. Either station loss southern. Sound life away senior difficult put.,2025-05-05,2025-05-06,2025-05-05,2025-05-15,,208,TODO,CRITICAL,50.38,80781f68-1022-4ff4-a889-295ebbd6ef3f,f3a0366e-ba31-4563-9226-01f1ca4bfdb2,1024,2076,0,"f7c027ce-8ffd-4328-8966-d3e13ea20501,21b13341-0ef8-4d60-ab5a-c798edeb524b","kubernetes,devops,frontend","31,16"
56,Add authentication module,Add authentication module. Hand so add Mr lawyer pull public. Herself police he push likely people wall foreign. Determine as statement travel few impact cause watch.,2025-04-12,2025-04-15,2025-04-15,2025-04-23,,105,ARCHIVED,MEDIUM,71.88,ec73fa69-5d20-4390-ba46-4579e4d67c7c,f0ac9185-860c-42d4-b68a-77f801ba074a,1057,2068,80,"22105e29-6947-4ffa-87fd-63334b13cc47,65d05336-b5da-479e-b5eb-b58934db2c79,adce5804-136f-4eb6-bb22-8df1d471a7ca","security,kubernetes",
57,Improve API endpoint,Improve API endpoint. Best thought career law. Industry score choice increase between majority impact. Allow have kitchen wear talk.,2025-03-07,2025-03-07,2025-03-11,2025-03-20,,238,BLOCKED,HIGH,23.64,adde8534-515f-46fb-859e-c3092b81370a,d8204203-e7b7-4bff-9591-fe7d82fee44a,1095,2060,25,"1d90f4d6-1ff8-4483-ad30-da19120b4407,025edcd2-d35f-4a4f-9bfc-41c735011c5c","testing,kubernetes,devops",
58,Improve security layer,Improve security layer. Top population art every why we station. Production politics others again. During call north attention share debate.,2025-02-15,2025-02-16,2025-02-15,2025-02-20,,206,ARCHIVED,LOW,9.87,f012fc38-3ace-4f4a-a155-a7d8ade371a1,5ac883db-6073-4b57-aa95-8b864f01867a,1060,2100,18,"bc4a60c8-df3a-44dd-b8ee-79ce3c0f29dd,a66423d5-178a-4246-a0a2-344db893a0eb,b042119f-9fb6-44f4-88b0-5101e0993fb8","security,ci/cd",27
59,Migrate UI component,Migrate UI component. Similar small other everyone worker would. Economy company produce ago address so draw.,2025-02-26,2025-02-26,2025-03-03,2025-03-07,2025-03-03,197,COMPLETED,LOW,100.0,54fc30c9-232d-4caf-8ba6-35018fc6ab1a,32d76286-ce0e-43ef-9380-e199c7235b2a,1030,2080,206,"06d8274c-e969-4eee-a107-407aafca259c,8b8f98ed-84d7-41f0-a283-796048358806","api,cloud,frontend",
60,Implement email system,Implement email system. Enter camera inside box.,2025-03-09,2025-03-11,2025-03-09,2025-03-24,,102,CANCELED,LOW,68.71,42bb3d16-56db-4f17-9e1d-ca74a1e26fc8,291b843b-1054-4344-831c-c59fabde1abb,1037,2045,0,92c006fa-8033-43c2-acd9-c5b96bdfab22,"testing,devops",
61,Refactor user service,Refactor user service. Sing message board mean war analysis situation. Feeling poor all your suggest international blue. Available ball part assume every plan.,2025-02-12,2025-02-13,2025-02-15,2025-02-27,,135,CANCELED,CRITICAL,7.82,d0ec7831-d49c-43c4-aff6-7c1227e5dc5a,579440f2-1566-4cf4-8359-e8a57f28c2ae,1074,2018,0,"87b6a977-d95e-4fd9-8c27-edae19a70d7b,bc9a0bea-6802-4115-8874-46f481df9073,eba78a4f-2d01-4c2e-923c-2248e8dd7b97",performance,
62,Fix email system,Fix email system. Yes most law painting between reduce. Result Democrat later direction fund law indeed. Fine fine effort well.,2025-03-31,2025-04-02,2025-04-03,2025-04-10,,94,CANCELED,CRITICAL,67.08,db331d97-6c00-48ae-b447-3c75aad9323e,e3c5f172-a7e2-4f3d-a6cd-51a0129ef476,1088,2032,0,"66a36db7-17b3-4b29-949b-c1b90dae2036,e5da702a-c930-4d86-a344-79620546cac5,b64a3340-165b-46a7-9ca3-34c1125685b8","api,cloud","61,23"
